Ticker,Security_Name,GICS_Sector,Specific_Risk_Pct,Market_Loading,Size_Loading,Value_Loading,Momentum_Loading,Quality_Loading,Volatility_Loading,Growth_Loading,Dividend_Yield_Loading,Risk_Model_ID,As_Of_Date
NVDA,Nvidia,Information Technology,38.807119636164046,0.5701182637943458,-0.3720353043276693,-0.02355505781551653,-0.14692678035568468,-0.7871486742777766,0.2581731898542585,-0.2449226427272455,-0.38354304363152136,BARRA_STYLE_V1,2025-12-05
AAPL,Apple Inc.,Information Technology,15.953354530719734,1.003578471220047,-0.21387961713014958,0.2400251340025009,0.019928770792486263,-0.500301190555161,0.43382753159075865,0.15728877370630584,-0.15860505125830018,BARRA_STYLE_V1,2025-12-05
MSFT,Microsoft,Information Technology,38.461523077912744,1.3083646282062253,-0.4694603717486123,1.3830699599059495,-0.30291223940879686,-0.09081846652354143,-0.49183789381328946,0.36967301911354405,0.46209838722125196,BARRA_STYLE_V1,2025-12-05
AMZN,Amazon,Consumer Discretionary,22.202122214626996,0.8042472578737828,-0.6236380935508888,0.1341374698947631,0.6141142127492625,0.2891511410556395,-0.6261602799334107,-0.3036275253968936,-0.37675842086998357,BARRA_STYLE_V1,2025-12-05
GOOGL,Alphabet Inc. (Class A),Communication Services,19.32927602164809,0.930720265037401,-0.007227720096808721,-0.11913551890312589,0.6322342453390527,-0.43203497604404556,0.8477398146919056,-0.2963767643595513,0.5484892490007454,BARRA_STYLE_V1,2025-12-05
GOOG,Alphabet Inc. (Class C),Communication Services,18.471039545409063,1.2054528211994726,-0.40467611406757864,-0.62052106060182,-0.19124507945642247,-0.12033123021876736,0.35203771896407904,0.6846644511001053,-0.2615256390236978,BARRA_STYLE_V1,2025-12-05
AVGO,Broadcom,Information Technology,15.817500358524454,0.7104302197364627,-0.11070138946916133,0.7293197242515527,-0.24611276067687113,-0.608303615831529,-0.1096933181647014,-0.03969431988895357,-0.45765957775605887,BARRA_STYLE_V1,2025-12-05
META,Meta Platforms,Communication Services,30.707594556643585,0.8166191802415547,-0.10612844415794437,-0.09081823214853767,-0.06561733668466053,0.4910164581199056,0.009850968316565501,0.25456939656593736,-0.2455014804513854,BARRA_STYLE_V1,2025-12-05
TSLA,"Tesla, Inc.",Consumer Discretionary,21.547796180811886,0.6496819937169218,-0.5095418256002984,0.8285712324638498,-0.10004028290334037,0.8586655569777758,-0.19628084666491338,0.25078054617961204,-0.8081422020440348,BARRA_STYLE_V1,2025-12-05
BRK.B,Berkshire Hathaway,Financials,44.68295297338895,1.3534684278647686,0.09951034712804267,0.5528065564743617,-0.2962509469009614,0.8046412622441603,0.10564036222077611,-0.598993803038989,-1.0862884905754806,BARRA_STYLE_V1,2025-12-05
WMT,Walmart,Consumer Staples,32.23310267616617,1.46250184353891,-0.19011343519387647,-0.23147805130423585,-1.8543983046616457,0.4824897752430689,-0.485918594702344,-0.3804379380859975,-0.041267694660429434,BARRA_STYLE_V1,2025-12-05
LLY,Lilly (Eli),Health Care,19.136558080680313,0.526175503152082,-0.06443313449361454,-0.6961380904279522,0.8774059377998071,0.4312549785601308,0.420083492544963,0.18767368177001006,-0.033648939171779864,BARRA_STYLE_V1,2025-12-05
JPM,JPMorgan Chase,Financials,35.66287622434096,0.957344350303533,-0.13588884095450926,0.13628455860180338,0.00020898188907114611,-1.0359397622016013,0.08772669931425084,-1.0336574433618217,0.12823089226833317,BARRA_STYLE_V1,2025-12-05
V,Visa Inc.,Financials,41.93230699529176,1.4221776925194836,0.32216619625446796,-0.3074517643858009,-0.08915505596453822,0.08858661611005261,0.10581354801667561,-0.10564880851921238,-0.04373709236278633,BARRA_STYLE_V1,2025-12-05
ORCL,Oracle Corporation,Information Technology,37.35538486108843,1.1196085550866712,0.2723165300746349,0.01967292122815285,0.16258456502597535,-0.24804631182995407,-0.446971191339261,-0.43264193619639124,1.1646265620529113,BARRA_STYLE_V1,2025-12-05
XOM,ExxonMobil,Energy,17.29319583118343,0.8532282301002716,-0.3162297852241804,0.5245248034271688,-0.040028874267044975,0.4402331805224505,0.26213354838631775,0.5552530709883268,0.08420467163634864,BARRA_STYLE_V1,2025-12-05
JNJ,Johnson & Johnson,Health Care,41.87652543577978,0.5361513641167304,0.5005183123529738,-0.8267910578124168,-0.21515792232272474,-1.2687989378406643,-0.4354858215730205,0.1730577265774746,-0.6882314280583025,BARRA_STYLE_V1,2025-12-05
MA,Mastercard,Financials,38.81788157579894,1.3458833655468592,-0.0869084585317032,0.13230692203410693,-0.5028229931959747,0.09648385138508912,-0.34607542995439294,0.5956231486953385,-0.5599574278512917,BARRA_STYLE_V1,2025-12-05
NFLX,Netflix,Communication Services,19.74911700316843,1.1081545644833493,0.49059381845284494,0.37979809544286836,-0.9193063882478479,-0.10722189191620127,0.043810961720875626,-0.019562316776676424,0.00015233467436412228,BARRA_STYLE_V1,2025-12-05
PLTR,Palantir Technologies,Information Technology,16.553576661984508,0.5581040836774733,0.02457924311729163,0.40405528087803155,-0.6771894649771968,0.5592149664657021,1.253665949807826,-0.056944596383511244,-0.21771330877923528,BARRA_STYLE_V1,2025-12-05
ABBV,AbbVie,Health Care,31.719317259429253,1.356967316162497,0.01958166326722592,-0.6817710855937115,-0.5583370333550736,0.7739935268373692,0.08573306667740467,-0.15246475953978247,-0.6142399485817321,BARRA_STYLE_V1,2025-12-05
COST,Costco,Consumer Staples,19.68107434019931,0.5198789314726391,0.041400295177241475,0.20966823488698186,0.32546107902048443,-0.4644230085063841,-1.2844004398337845,-0.25153469977754617,-0.029424041316431546,BARRA_STYLE_V1,2025-12-05
BAC,Bank of America,Financials,40.03772857785816,0.9338541537497765,0.010707912796907956,0.6017682909533463,0.36231157338219727,-0.4418552179484076,-0.32125069168037523,1.3423281695279925,-0.022112114691170928,BARRA_STYLE_V1,2025-12-05
AMD,Advanced Micro Devices,Information Technology,25.75003970015021,0.9206155889883613,0.6189115124624748,0.17161689920003784,-0.44089955223338556,0.11524831060585684,0.3418645561102869,0.40358475789661113,0.7978468667483575,BARRA_STYLE_V1,2025-12-05
HD,Home Depot (The),Consumer Discretionary,42.38677334209726,1.4855143986543506,0.1022994804535837,-0.05784710305426837,-1.3318270702186974,0.8668813457607708,-0.5642304724920619,-0.5330942729683913,-0.4580448535610479,BARRA_STYLE_V1,2025-12-05
PG,Procter & Gamble,Consumer Staples,31.970645164230174,0.9216861424359543,0.06071653491050827,0.5698064702867219,0.004560359750938152,0.030072338641508038,0.41555122057282995,1.3196544345810894,-0.20886390295408638,BARRA_STYLE_V1,2025-12-05
